id,title,description,category,price,rating,stock,tags,weight,brand,dimensions,reviews
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,9.99,2.56,99,"['beauty', 'mascara']",4.0,Essence,"{'width': 15.14, 'height': 13.08, 'depth': 22.99}","[{'rating': 3.0, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z'}]"
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,2.86,34,"['beauty', 'eyeshadow']",9.0,Glamour Beauty,"{'width': 9.26, 'height': 22.47, 'depth': 27.67}","[{'rating': 5.0, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 1.0, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z'}]"
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,4.64,89,"['beauty', 'face powder']",8.0,Velvet Touch,"{'width': 29.27, 'height': 27.93, 'depth': 20.59}","[{'rating': 4.0, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 1.0, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z'}]"
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,4.36,91,"['beauty', 'lipstick']",1.0,Chic Cosmetics,"{'width': 18.11, 'height': 28.38, 'depth': 22.17}","[{'rating': 4.0, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z'}]"
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,4.32,79,"['beauty', 'nail polish']",8.0,Nail Couture,"{'width': 21.63, 'height': 16.48, 'depth': 29.84}","[{'rating': 2.0, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 1.0, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z'}]"
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,4.37,29,"['fragrances', 'perfumes']",7.0,Calvin Klein,"{'width': 29.36, 'height': 27.76, 'depth': 20.72}","[{'rating': 2.0, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 3.0, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.053Z'}]"
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,4.26,58,"['fragrances', 'perfumes']",7.0,Chanel,"{'width': 24.5, 'height': 25.7, 'depth': 25.98}","[{'rating': 4.0, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z'}]"
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,3.8,98,"['fragrances', 'perfumes']",4.0,Dior,"{'width': 27.67, 'height': 28.28, 'depth': 11.83}","[{'rating': 5.0, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z'}]"
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,3.96,4,"['fragrances', 'perfumes']",6.0,Dolce & Gabbana,"{'width': 27.28, 'height': 29.88, 'depth': 18.3}","[{'rating': 4.0, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z'}]"
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,2.74,91,"['fragrances', 'perfumes']",7.0,Gucci,"{'width': 20.92, 'height': 21.68, 'depth': 11.2}","[{'rating': 1.0, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 5.0, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z'}, {'rating': 4.0, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z'}]"
